Cite Number,Issue Date,Violat,Sublocatio,Street,Meter #,Is Wa,Due
M200506460,01/16/2018,X,1900,4TH ST,4246,NO,0.00
M201404900,01/31/2018,X,200E,GRAY ST,1210,NO,50.00
M201108533,01/02/2018,X,300,MUHAMMAD ALI BLVD,2254,NO,0.00
M202803468,03/14/2018,NPP,300 W,LIBERTY ST,,NO,25.00
M200609384,01/02/2018,X,400,2ND ST,2313,NO,0.00
M201608998,01/05/2018,X,400S,2ND ST,2315,NO,0.00
M202705693,01/25/2018,MU,W700,JEFFERSON ST,,NO,0.00
M200705958,01/02/2018,NPP,400W,CHESTNUT ST,,NO,0.00
M200609774,01/26/2018,NPP,400,CHESTNUT ST,,NO,0.00
M200610181,02/08/2018,NPP,400,CHESTNUT ST,,NO,0.00
M202803428,03/12/2018,NPP,400 W,CHESTNUT ST,,NO,0.00
M200609416,01/03/2018,X,400,CHESTNUT ST,2112,NO,0.00
M202803405,03/12/2018,X,400 W,CHESTNUT ST,2112,NO,0.00
M201306205,01/12/2018,X,S,FLOYD ST,4899,NO,0.00
M200007477,02/27/2018,X,W400,MAIN ST,2642,NO,0.00
M200007544,03/02/2018,PT2,E800,MARKET ST,,NO,0.00
M201609837,02/09/2018,X,300E,MUHAMMAD ALI BLVD,1296,NO,0.00
M201108591,01/08/2018,X,400,MUHAMMAD ALI BLVD,2273,NO,0.00
M200209054,03/14/2018,X,600S,FLOYD ST,FL614B,NO,25.00
M200609591,01/16/2018,X,600,6TH ST,1962,NO,0.00
M201306186,01/11/2018,X,E,MAIN ST,3198,NO,0.00
M200007947,03/20/2018,X,S500,4TH ST,2028,NO,0.00
M202401581,01/26/2018,X,400W,MARKET ST,2568,NO,0.00
M200006424,01/16/2018,NPP,S2500,4TH ST,,NO,0.00
M200506669,01/23/2018,NPP,2400,4TH ST,,NO,0.00
M200007553,03/05/2018,X,W300,CARDINAL BLVD,4301,NO,0.00
M201707660,03/16/2018,X,300S,8TH ST,194,NO,25.00
M201610449,03/02/2018,X,700W,LIBERTY ST,706,NO,0.00
M201610840,03/16/2018,X,500S,FLOYD ST,1478,NO,0.00
M201610260,02/23/2018,H,200 S,5TH ST,,NO,0.00
M201404389,01/02/2018,X,500S,HANCOCK ST,1703,NO,50.00
M200409133,02/27/2018,PTZ,200,HILL ST,,NO,0.00
M200006780,01/31/2018,PT2,S1700,2ND ST,,NO,0.00
M201610287,02/26/2018,X,500S,FLOYD ST,1486,NO,0.00
M201307084,03/12/2018,X,8-205AS,8TH ST,182,NO,25.00
M202900266,02/09/2018,X,S2000,4TH ST,4346,NO,0.00
M200006616,01/24/2018,X,S2000,4TH ST,4336,NO,0.00
M201609148,01/12/2018,X,400E,CHESTNUT ST,1417,NO,50.00
M200303633,02/08/2018,BT,100,MARKET ST,,NO,0.00
M201707696,03/17/2018,X,400W,LIBERTY ST,2238,NO,0.00
M201306594,01/29/2018,X,WA209E,WASHINGTON ST,2674,NO,50.00
M201405258,02/28/2018,X,600,WASHINGTON ST,586,NO,0.00
M200006743,01/30/2018,X,S100,6TH ST,100,NO,0.00
M202705520,01/17/2018,X,N100,7TH ST,133,NO,0.00
M201707223,02/02/2018,X,600W,WASHINGTON ST,333,NO,0.00
M200408219,01/09/2018,X,500BLOCK,JACKSON ST,NA,NO,0.00
M200007296,02/20/2018,X,E200,MARKET ST,3324,NO,0.00
M201404718,01/22/2018,X,300E,MUHAMMAD ALI BLVD,1300,NO,0.00
M201611005,03/21/2018,X,300E,MUHAMMAD ALI BLVD,1293,NO,0.00
M200610892,03/05/2018,X,300,LIBRARY LOT,1,NO,50.00
M200409458,03/09/2018,X,2000,4TH ST,4918,NO,0.00
M200007457,02/27/2018,X,W100,MARKET ST,2531,NO,0.00
M202401639,03/05/2018,X,200,FLOYD ST,200N,NO,0.00
M200006685,01/26/2018,X,1200,STORY AVE,2945,NO,0.00
M201109054,02/22/2018,X,400,MAIN ST,2654,NO,50.00
M202705779,01/29/2018,H,W600,JEFFERSON ST,,NO,135.00
M202803209,02/10/2018,X,300,BRANDEIS AVE,4251,NO,0.00
M200208469,01/16/2018,PT2,w600,GARAGE - 6TH & MAIN,,NO,0.00
M200609964,02/02/2018,X,600,3RD ST,1882,NO,50.00
M201405022,02/07/2018,X,500E,CHESTNUT ST,1423,NO,0.00
M201108565,01/04/2018,X,500,ARMORY PL,538,NO,0.00
M200408303,01/19/2018,PTZ,1400,4TH ST,,NO,0.00
M201306135,01/10/2018,X,N,1ST ST,3008,NO,50.00
M200303569,01/25/2018,BT,2000,4TH ST,,NO,0.00
M200611204,03/21/2018,X,500,5TH ST,2055,NO,0.00
M201307432,03/21/2018,NPP,1500,BARDSTOWN RD,,NO,15.00
M202803158,02/08/2018,X,2000,4TH ST,4338,NO,0.00
M200506933,02/07/2018,NPP,1400,BARDSTOWN RD,,NO,0.00
M201609091,01/10/2018,X,600S,FLOYD ST,2467,NO,0.00
M200609603,01/19/2018,X,400,MUHAMMAD ALI BLVD,2424,NO,0.00
M200006739,01/30/2018,X,E300,CHESTNUT ST,1391,NO,0.00
M202900059,02/03/2018,X,S2000,4TH ST,4371,NO,0.00
M200610032,02/05/2018,X,600,1ST ST,1025,NO,0.00
M201609930,02/12/2018,X,600W,MAIN ST,280,NO,0.00
M201405267,02/28/2018,X,400,MUHAMMAD ALI BLVD,2420,NO,50.00
M202803497,03/15/2018,X,400 W,2ND ST,2315,NO,0.00
M201307255,03/15/2018,X,WI100RE,WITHERSPOON ST,3265,NO,25.00
M201611004,03/21/2018,X,500,HANCOCK ST,1709,NO,0.00
M202803664,03/23/2018,X,300 W,MUHAMMAD ALI BLVD,2423,NO,0.00
M201108584,01/08/2018,HO,400,MUHAMMAD ALI BLVD,,NO,0.00
M201405186,02/16/2018,X,500S,FLOYD ST,,NO,0.00
M201609914,02/12/2018,NSR,300S,8TH ST,,NO,0.00
M202900466,02/21/2018,X,W800,LIBERTY ST,724,NO,0.00
M201306001,01/05/2018,X,100E,MAIN ST,3201,NO,0.00
M201404533,01/09/2018,X,100N,BROOK ST,3053,NO,0.00
M201306383,01/19/2018,X,BR100N,BROOK ST,3276,NO,0.00
M202900217,02/08/2018,X,E100,MAIN ST,3201,NO,0.00
M201609831,02/09/2018,X,500S,HANCOCK ST,1708,NO,0.00
M201306404,01/22/2018,NP,100W,WITHERSPOON ST,,NO,0.00
M201306437,01/22/2018,X,3-1900S,3RD ST,4207,NO,0.00
M200506920,02/06/2018,X,100 N,1ST ST,2449,NO,0.00
M200706787,03/16/2018,X,100S,6TH ST,91,NO,0.00
M200610779,03/02/2018,X,700,MAGAZINE ST,809,NO,0.00
M201405105,02/12/2018,X,500S,HANCOCK ST,1806,NO,0.00
M201405176,02/16/2018,X,500S,HANCOCK ST,1722,NO,0.00
M201405246,02/20/2018,X,500S,HANCOCK ST,1806,NO,0.00
M200208647,02/27/2018,X,500S,HANCOCK ST,HK514A,NO,0.00
M201610955,03/20/2018,X,500,HANCOCK ST,1722,NO,0.00
M202401674,03/06/2018,X,200 N,BROOK ST,3074,NO,0.00
M201305911,01/02/2018,X,100E,WASHINGTON ST,3331,NO,0.00
M201305984,01/03/2018,X,E,WASHINGTON ST,3333,NO,0.00
M202803269,02/16/2018,X,200,BROOK ST,3062,NO,0.00
M201507464,02/26/2018,X,100,BROOK ST,3059,NO,0.00
M201609756,02/07/2018,HO,fl521a,FLOYD ST,,NO,0.00
M202401452,01/08/2018,X,S2000,4TH ST,4337,NO,0.00
M200609749,01/26/2018,LZF,400,7TH ST,,NO,0.00
M200706093,01/09/2018,X,100W,MAIN ST,2665,NO,0.00
M201404610,01/16/2018,X,200E,CHESTNUT ST,1167,NO,0.00
M200409588,03/21/2018,78,200,GAULBERT AVE,,NO,35.00
M201507282,02/10/2018,X,100,CHESTNUT ST,874,NO,0.00
M200610734,02/28/2018,X,100,CHESTNUT ST,865,NO,0.00
M202705443,01/12/2018,X,W700,MAGAZINE ST,794,NO,0.00
M201609131,01/11/2018,X,700W,MAIN ST,300,NO,0.00
M200610643,02/24/2018,X,300,3RD ST,2322,NO,0.00
D200208920,03/08/2018,NPC,200E,CHESTNUT ST,,NO,0.00
M200408795,02/12/2018,NSR,1800,BROOK ST,,NO,0.00
M200609606,01/19/2018,NPP,300,MUHAMMAD ALI BLVD,,NO,0.00
M200706200,01/30/2018,X,200W,MAIN ST,2613,NO,0.00
M201404422,01/03/2018,NSR,400S,6TH ST,,NO,0.00
M200706588,03/03/2018,X,100N,8TH ST,2445,NO,50.00
M200408646,02/01/2018,PFH,500,LILLY AVE,,NO,50.00
M200610770,03/02/2018,NP,400,MUHAMMAD ALI BLVD,,NO,10.00
M200007038,02/12/2018,PT2,E800,MARKET ST,,NO,50.00
M200506843,02/03/2018,NP,2000S,STANSBURY PARK,,NO,0.00
M202900057,02/03/2018,X,S2000,4TH ST,4362,NO,0.00
M200610771,03/02/2018,X,400,MUHAMMAD ALI BLVD,2426,NO,50.00
M200006722,01/29/2018,PT2,S1600,2ND ST,,NO,0.00
M201405051,02/08/2018,X,400E,MUHAMMAD ALI BLVD,1322,NO,0.00
M202803522,03/16/2018,X,300 W,MUHAMMAD ALI BLVD,2435,NO,0.00
M200006709,01/29/2018,X,S600,PRESTON ST,1279,NO,0.00
M202803380,03/09/2018,NPP,500 S,5TH ST,,NO,0.00
M200610255,02/13/2018,X,800,4TH ST,3828,NO,0.00
M200610813,03/03/2018,X,400,MUHAMMAD ALI BLVD,2436,NO,0.00
M201405133,02/13/2018,X,600S,JACKSON ST,1589,NO,0.00
M202401666,03/05/2018,X,100,1ST ST,105,NO,50.00
M201610072,02/17/2018,X,600,PRESTON ST,1273,NO,50.00
M200706241,01/31/2018,X,400W,MARKET ST,2573,NO,0.00
M200806141,01/17/2018,X,2200,DUNDEE RD,4583,NO,0.00
M202803159,02/08/2018,X,2000,4TH ST,4362,NO,0.00
M202401489,01/09/2018,NP,S2200,FLOYD ST,,NO,0.00
M200007721,03/09/2018,X,W600,MAIN ST,297,NO,0.00
M201610713,03/13/2018,X,500S,FLOYD ST,1482,NO,25.00
M200209210,03/20/2018,X,400E,GRAY ST,GR421E,NO,15.00
M200610094,02/07/2018,X,500,LIBERTY ST,786,NO,0.00
M200409168,02/28/2018,X,2300,ARTHUR ST,4379,NO,0.00
M200409594,03/21/2018,X,2300,ARTHUR ST,4379,NO,15.00
M200806049,01/09/2018,X,700,MARKET ST,2763,NO,50.00
M201609524,01/27/2018,NSR,600S,PRESTON ST,,NO,0.00
M200506935,02/07/2018,NPP,900,BAXTER AVE,,NO,50.00
M200408433,01/25/2018,PT2,300,STANSBURY PARK,,NO,0.00
M200208793,03/05/2018,HO,gr403e,GRAY ST,,NO,0.00
M202706036,03/08/2018,X,W700,JEFFERSON ST,432,NO,50.00
M201404747,01/23/2018,X,500S,FLOYD ST,1482,NO,0.00
M201507699,03/19/2018,NPP,600,PRESTON ST,,NO,0.00
M201609740,02/06/2018,X,600W,LIBERTY ST,687,NO,0.00
M201707421,02/26/2018,IP,S300,6TH ST,,NO,50.00
M200006363,01/11/2018,X,W300,BRANDEIS AVE,4248,NO,50.00
M200007012,02/09/2018,78,W200,LEE ST,,NO,0.00
M201609189,01/13/2018,X,200E,CHESTNUT ST,1170,NO,0.00
M202900211,02/08/2018,NP,S200,1ST ST,,NO,50.00
M201306006,01/05/2018,NP,E,WITHERSPOON ST,,NO,0.00
M202803561,03/20/2018,HO,300 w,MUHAMMAD ALI BLVD,,NO,15.00
M201404527,01/09/2018,X,600S,JACKSON ST,1589,NO,0.00
M200006793,02/01/2018,97,W300,BLOOM ST,,NO,0.00
M202900149,02/06/2018,X,S100,7TH ST,145,NO,0.00
M200208886,03/08/2018,HO,fl515a,FLOYD ST,,NO,0.00
M202803657,03/23/2018,X,500 S,ARMORY PL,554,NO,15.00
M200409503,03/15/2018,78,400,BLOOM ST,,NO,0.00
M201507446,02/24/2018,X,1900,3RD ST,4221,NO,0.00
M200006662,01/25/2018,PSC,S1400,3RD ST,,NO,0.00
M201507373,02/16/2018,NSR,1800,3RD ST,,NO,0.00
M200303664,02/19/2018,PCO,600,4TH ST,,NO,0.00
M200006682,01/26/2018,X,E700,MARKET ST,2747,NO,0.00
M200409443,03/09/2018,78,1800,2ND ST,,YES,0.00
M200303552,01/24/2018,BN,300 W,HILL ST,,NO,0.00
M201405171,02/16/2018,X,400E,MUHAMMAD ALI BLVD,1330,NO,0.00
M200408969,02/21/2018,X,1900,3RD ST,4213,NO,50.00
M200507070,02/17/2018,X,1600E,ELLWOOD AVE,4600E,NO,0.00
M200610603,02/23/2018,NPP,500,5TH ST,,NO,0.00
M201307294,03/16/2018,X,WI102RE,WITHERSPOON ST,3267,NO,25.00
M200409581,03/20/2018,97,1800,3RD ST,,NO,0.00
M202401444,01/08/2018,78,S1700,3RD ST,,NO,0.00
M200408617,01/31/2018,97,1700,2ND ST,,NO,0.00
M201306751,02/01/2018,X,MA314E,MAIN ST,3242,NO,0.00
M201404387,01/02/2018,X,400E,MUHAMMAD ALI BLVD,1325,NO,0.00
M200303514,01/16/2018,BT,600W,MAIN ST,,NO,0.00
M200208510,02/23/2018,X,600S,FLOYD ST,FL619B,YES,0.00
M201707498,02/28/2018,X,609 W,CEDAR ST,392,NO,0.00
M200007188,02/15/2018,PSW,W700,YORK ST,,NO,0.00
M200408715,02/07/2018,79,1800,2ND ST,,NO,70.00
M200408846,02/13/2018,97,1800,2ND ST,,NO,0.00
M201307341,03/16/2018,NPP,800,BROADWAY,,NO,0.00
M200609782,01/26/2018,NPP,400,LIBERTY ST,,NO,50.00
M200007992,03/23/2018,X,E200,CHESTNUT ST,1169,NO,15.00
M201707491,02/28/2018,AB,300 S,6TH ST,,NO,50.00
M200610922,03/06/2018,AB,300,6TH ST,,NO,50.00
M200610537,02/21/2018,X,300S,6TH ST,6308B,NO,50.00
M201108773,01/31/2018,X,400,7TH ST,625,NO,50.00
M201610738,03/14/2018,X,600S,FLOYD ST,1500,NO,25.00
M202401605,01/27/2018,X,W400,MARKET ST,2572,NO,0.00
M200408216,01/09/2018,X,400BLOCK,PRESTON ST,P405,NO,0.00
M200208726,03/02/2018,X,300E,CHESTNUT ST,CH307A,NO,0.00
M201609532,01/27/2018,X,400W,JEFFERSON ST,2478,NO,0.00
M200006366,01/11/2018,X,S2000,4TH ST,4350,NO,0.00
M200506753,01/26/2018,X,2000,4TH ST,4338,NO,0.00
M200208541,02/23/2018,NP,200E,CHESTNUT ST,,NO,0.00
M201507087,01/04/2018,NP,300E,CHESTNUT ST,,NO,0.00
M200006637,01/25/2018,X,S2300,ARTHUR ST,4378,NO,0.00
M201707811,03/22/2018,X,100S,5TH ST,72,NO,0.00
M200706203,01/30/2018,PT2,S100,GARAGE - 6TH & MAIN,,NO,0.00
M200706356,02/09/2018,PT2,S100,GARAGE - 6TH & MAIN,,NO,0.00
M200007349,02/21/2018,PT2,S100,GARAGE - 6TH & MAIN,,NO,0.00
M200007955,03/21/2018,X,W700,MAIN ST,305,NO,15.00
M202802855,01/17/2018,X,200,GUTHRIE ST,2070,NO,0.00
M200007065,02/13/2018,X,N100,7TH ST,126,NO,0.00
M202803367,03/09/2018,X,200 W,GUTHRIE ST,2076,NO,0.00
M200006814,02/01/2018,PT2,S2000,STANSBURY PARK,,NO,0.00
94348693,03/19/2018,AB,1101,MILTON ST,,NO,15.00
M200006560,01/23/2018,97,W300,LEE ST,,NO,0.00
M200408526,01/29/2018,97,300,LEE ST,,NO,0.00
M200408576,01/30/2018,97,400,LEE ST,,NO,0.00
M200408958,02/21/2018,97,300,LEE ST,,NO,0.00
M200610756,03/01/2018,X,600,7TH ST,1969,NO,0.00
M202900473,02/21/2018,X,W600,JEFFERSON ST,419,NO,0.00
M200611051,03/14/2018,NPP,300,CHESTNUT ST,,NO,0.00
M200409151,02/27/2018,PT2,2000,STANSBURY PARK,,NO,0.00
M200706270,02/01/2018,X,100W,MARKET ST,3296,NO,0.00
M200706076,01/09/2018,X,400W,MAIN ST,2634,NO,0.00
M200408340,01/22/2018,X,2000,4TH ST,4360,NO,0.00
M201707816,03/22/2018,X,400W,JEFFERSON ST,2478,NO,0.00
M201609501,01/25/2018,NPP,200E,MUHAMMAD ALI BLVD,,NO,0.00
M202705597,01/19/2018,X,S500,4TH ST,2030,NO,0.00
M201405024,02/07/2018,X,600S,JACKSON ST,1583,NO,0.00
M201610750,03/14/2018,X,500S,HANCOCK ST,1599,NO,0.00
M200609684,01/25/2018,X,500,FLOYD ST,1471,NO,0.00
M202802857,01/17/2018,X,100,MARKET ST,2524,NO,0.00
M200706927,03/21/2018,NPP,300W,MARKET ST,,NO,15.00
M202802941,01/22/2018,X,500,JEFFERSON ST,661,NO,50.00
M200806392,02/09/2018,X,2200,DUNDEE RD,4583,NO,50.00
M201707318,02/10/2018,X,500S,3RD ST,2022,NO,50.00
M200006367,01/11/2018,X,S2000,4TH ST,4346,NO,0.00
M200408586,01/30/2018,78,1700,4TH ST,,NO,0.00
M200706635,03/06/2018,X,500W,MARKET ST,2596,NO,0.00
M200507125,02/20/2018,X,700,JEFFERSON ST,J700A,NO,0.00
M200409418,03/08/2018,78,1600,3RD ST,,NO,70.00
M200806616,03/08/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M200409260,03/02/2018,X,2300,ARTHUR ST,4384,NO,0.00
M200506932,02/07/2018,NPP,1200,BARDSTOWN RD,,NO,0.00
M201507179,01/19/2018,X,400BLOCK,PRESTON ST,NA,NO,0.00
M201507426,02/22/2018,X,1900,4TH ST,4236,NO,50.00
M200409150,02/27/2018,PTZ,2500,4TH ST,,NO,0.00
M202803578,03/21/2018,X,W500,JEFFERSON ST,652,NO,15.00
M201108817,02/02/2018,X,600,MAIN ST,274,NO,50.00
M200609457,01/05/2018,X,300,LIBRARY LOT,23,NO,0.00
M202705631,01/22/2018,X,S200,7TH ST,150,NO,0.00
M200408507,01/29/2018,X,2000,4TH ST,4339,NO,0.00
M200506715,01/25/2018,NPP,400,LIBERTY ST,,NO,0.00
M200609882,01/31/2018,X,700,8TH ST,3910,NO,50.00
M200007211,02/16/2018,X,W500,MARKET ST,2598,NO,50.00
M200706489,02/28/2018,X,100S,5TH ST,70,NO,0.00
M201707646,03/16/2018,X,500W,MARKET ST,2593,NO,25.00
M200408380,01/22/2018,78,1600,3RD ST,,NO,0.00
M200209338,03/23/2018,HO,hk510b,HANCOCK ST,,NO,15.00
M200610599,02/23/2018,X,700,4TH ST,3801,NO,0.00
M200007197,02/16/2018,X,S100,5TH ST,363,NO,0.00
M201707313,02/10/2018,X,500S,3RD ST,2016,NO,50.00
M202803588,03/21/2018,PFH,W600,JEFFERSON ST,,NO,15.00
M200408176,01/03/2018,NPP,500W,LIBERTY ST,,NO,0.00
M202401680,03/06/2018,X,100 S,FLOYD ST,3086,NO,0.00
M201507737,03/23/2018,X,200,GUTHRIE ST,2076,NO,0.00
M201610329,02/26/2018,X,400S,7TH ST,618,NO,0.00
M200006380,01/12/2018,X,W300,CARDINAL BLVD,4404,NO,0.00
M201707102,01/27/2018,X,400S,5TH ST,568,NO,0.00
M201405170,02/16/2018,X,500S,FLOYD ST,1486,NO,0.00
M201707309,02/10/2018,X,200E,ABRAHAM FLEXNER WAY,1076,NO,0.00
M200706897,03/20/2018,HO,500w,MARKET ST,,NO,15.00
M200610528,02/21/2018,NPP,300,LIBERTY ST,,NO,0.00
M200208451,01/16/2018,X,W700,MARKET ST,246,NO,0.00
M201109016,02/21/2018,X,400,CHESTNUT ST,1410,NO,0.00
M201307051,03/09/2018,X,J408BW,JEFFERSON ST,2470,NO,0.00
M200506978,02/10/2018,X,1900E,HARVARD DR,4622,NO,0.00
M202401774,03/08/2018,X,100,3RD ST,102A,NO,0.00
M200611030,03/14/2018,X,400,2ND ST,2308,NO,15.00
M201108847,02/05/2018,X,300,7TH ST,12,NO,50.00
94783765,01/13/2018,EX,1210 W,MUHAMMAD ALI BLVD,,NO,0.00
M200806808,03/20/2018,PSC,700,ST ANTHONY PL,,YES,0.00
M200007958,03/21/2018,X,W200,MAIN ST,2611,NO,15.00
M200706726,03/14/2018,X,200S,7TH ST,149,NO,25.00
M201609648,02/03/2018,X,200E,CHESTNUT ST,260,NO,0.00
M201306063,01/08/2018,NPP,900,BAXTER AVE,,NO,0.00
M202705822,01/30/2018,X,W600,JEFFERSON ST,420,NO,50.00
M200208928,03/09/2018,X,600S,FLOYD ST,FL616A,NO,50.00
M200506766,01/27/2018,X,1600E,ELLWOOD AVE,4829,NO,0.00
M202401557,01/11/2018,97,S1700,2ND ST,,NO,0.00
M200007216,02/16/2018,X,S100,7TH ST,146,NO,50.00
M200409123,02/27/2018,NSR,1700,FLOYD ST,,NO,0.00
M201507609,03/09/2018,NPP,200,KENTUCKY ST,,NO,50.00
M200006405,01/16/2018,X,S2000,4TH ST,4364,NO,0.00
M200008039,03/24/2018,X,2000,ARTHUR ST,4379,NO,15.00
M202705200,01/02/2018,X,W500,JEFFERSON ST,226,NO,50.00
M200610213,02/09/2018,X,700,3RD ST,3765,NO,50.00
M201610314,02/26/2018,X,700S,3RD ST,3765,NO,50.00
M200609908,02/01/2018,X,200,GUTHRIE ST,2070,NO,50.00
M201609857,02/09/2018,X,400W,JEFFERSON ST,2482,NO,0.00
M200408708,02/07/2018,PSW,2000,BRADLEY AVE,,NO,0.00
M200408424,01/25/2018,NSR,200,LEE ST,,NO,0.00
M200706713,03/14/2018,X,400W,MAIN ST,2644,NO,25.00
M201405221,02/19/2018,X,600S,BROOK ST,1130,NO,50.00
M201108614,01/09/2018,X,300,CHESTNUT ST,5018,NO,0.00
M200609739,01/26/2018,X,300,GUTHRIE ST,2086,NO,50.00
M200611058,03/14/2018,X,300,GUTHRIE ST,2089,NO,25.00
M200007162,02/15/2018,X,2300,ARTHUR ST,4387,NO,0.00
M200409259,03/02/2018,X,2300,ARTHUR ST,4382,NO,0.00
M201611027,03/22/2018,X,400E,CHESTNUT ST,4944,NO,15.00
M200806086,01/12/2018,X,2200,DUNDEE RD,4584,NO,0.00
M200408336,01/22/2018,NPP,200,BRECKINRIDGE ST,,NO,50.00
M201307002,03/07/2018,HO,300 east,CHESTNUT ST,,YES,0.00
M200506613,01/20/2018,NSR,1900E,DEER PARK AVE,,NO,0.00
M200007257,02/19/2018,NPC,S1800,FLOYD ST,,NO,0.00
M200806641,03/08/2018,X,E700,MARKET ST,1073,NO,0.00
M202705589,01/19/2018,NSR,600,HANCOCK ST,,YES,0.00
M200409336,03/03/2018,PSW,700,YORK ST,,NO,0.00
M202803162,02/09/2018,X,2000,HIGHLAND AVE,4616,NO,50.00
M200006771,01/31/2018,X,S2400,FLOYD ST,4433,NO,0.00
M202705195,01/02/2018,X,W300,JEFFERSON ST,2448,NO,0.00
M201610104,02/17/2018,X,600W,WASHINGTON ST,332,NO,0.00
M200007466,02/27/2018,X,W300,MAIN ST,2626,NO,0.00
M201707593,03/13/2018,X,200S,5TH ST,82,NO,25.00
M200408545,01/29/2018,PT2,S1700,2ND ST,,NO,0.00
M200609717,01/25/2018,NPP,600,PRESTON ST,,NO,0.00
M200006612,01/24/2018,X,S2000,4TH ST,4359,NO,50.00
M200409569,03/20/2018,NSR,1900,FLOYD ST,,NO,15.00
M200408927,02/20/2018,PT2,1700,2ND ST,,NO,0.00
M200610418,02/19/2018,NP,200,CHESTNUT ST,,NO,0.00
M200006387,01/12/2018,78,W200,BLOOM ST,,YES,0.00
M200408670,02/01/2018,NSR,2000,BRADLEY AVE,,NO,0.00
M200506748,01/26/2018,X,2000,4TH ST,4342,NO,0.00
M200506343,01/08/2018,X,300 S,6TH ST,581,NO,0.00
M200506357,01/09/2018,X,400 W,JEFFERSON ST,2478,NO,0.00
M202705662,01/23/2018,X,W500,JEFFERSON ST,651,NO,0.00
M200805946,01/04/2018,X,E600,MARKET ST,2711,NO,50.00
M200506665,01/23/2018,NPP,100,KENTUCKY ST,,NO,50.00
M202706064,03/08/2018,X,W200,GUTHRIE ST,2070,NO,0.00
M200506557,01/19/2018,X,2000,4TH ST,4351,NO,0.00
M201404822,01/26/2018,X,300E,CHESTNUT ST,1385,NO,0.00
M202401447,01/08/2018,78,W300,LEE ST,,NO,0.00
M201306878,02/15/2018,X,WA613BW,WASHINGTON ST,578,NO,50.00
M200007500,02/28/2018,HO,W700,MAIN ST,,NO,0.00
M200007086,02/14/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M200506739,01/26/2018,NPP,700 E,KENTUCKY ST,,NO,0.00
M202802772,01/04/2018,NPP,1500,BARDSTOWN RD,,NO,0.00
M200303668,02/20/2018,BT,400 W,JEFFERSON ST,,NO,0.00
M202803481,03/14/2018,X,400 W,LIBERTY ST,2245,NO,0.00
M200006408,01/16/2018,78,S1700,3RD ST,,NO,0.00
M200006806,02/01/2018,PT2,S1700,2ND ST,,NO,0.00
M200007217,02/16/2018,X,W600,MAIN ST,292,NO,0.00
M200610403,02/16/2018,NSR,7420DX,MUHAMMAD ALI BLVD,,NO,50.00
M200609792,01/26/2018,X,300,MUHAMMAD ALI BLVD,2258,NO,0.00
M202803425,03/12/2018,X,300 W,MUHAMMAD ALI BLVD,2435,NO,0.00
M200007469,02/27/2018,X,N100,7TH ST,137,NO,0.00
M200409036,02/22/2018,NSR,1700,4TH ST,,NO,0.00
M200706573,03/03/2018,X,1315,MUHAMMAD ALI BLVD,1315,NO,0.00
94859811,01/03/2018,H,825,LOTUS AVE,,NO,135.00
M200506353,01/08/2018,X,100 E,GRAY ST,998,NO,0.00
M200409146,02/27/2018,78,1800,3RD ST,,NO,0.00
M201609110,01/10/2018,X,600S,FLOYD ST,1501,NO,0.00
M202803574,03/20/2018,X,400 W,MAIN ST,2637,NO,15.00
M201404847,01/29/2018,X,500S,HANCOCK ST,1599,NO,0.00
M200609650,01/22/2018,X,800,4TH ST,3825,NO,0.00
M200006802,02/01/2018,PT2,S1800,2ND ST,,NO,0.00
M202401586,01/26/2018,X,100S,6TH ST,102,NO,50.00
M202900396,02/15/2018,X,400W,MARKET ST,2571,NO,0.00
M200806434,02/15/2018,X,2000,CHEROKEE PKY,4555,NO,0.00
M202705246,01/05/2018,X,W800,JEFFERSON ST,674,NO,50.00
M200806592,03/06/2018,X,2000,HIGHLAND AVE,2453,NO,50.00
M201307126,03/13/2018,X,H2002B,HIGHLAND AVE,2206,NO,25.00
M201307202,03/14/2018,X,H2002B,HIGHLAND AVE,2206,NO,25.00
M202706073,03/09/2018,X,W600,JEFFERSON ST,423,NO,50.00
M201404511,01/09/2018,X,200E,CHESTNUT ST,1481,NO,0.00
M202803102,02/05/2018,X,100,6TH ST,89,NO,0.00
M200409124,02/27/2018,NSR,1800,FLOYD ST,,NO,50.00
M200303762,03/13/2018,BT,600 W,JEFFERSON ST,,NO,0.00
M200706014,01/05/2018,X,600W,LIBERTY ST,683,NO,0.00
M201707632,03/15/2018,X,400S,6TH ST,473,NO,25.00
M200706172,01/24/2018,X,100S,7TH ST,147,NO,50.00
M200006748,01/30/2018,X,W400,MAIN ST,2642,NO,50.00
M200706607,03/03/2018,X,100N,BROOK ST,3058,NO,50.00
M201108888,02/08/2018,PFH,600,6TH ST,,NO,50.00
M200303657,02/15/2018,BT,800 W,JEFFERSON ST,,NO,0.00
M200409130,02/27/2018,PT2,2000,STANSBURY PARK,,NO,0.00
M200303452,01/08/2018,BT,300,STANSBURY PARK,,NO,0.00
M200806040,01/09/2018,X,E1100,STORY AVE,2937,NO,0.00
M202401564,01/11/2018,X,S2000,4TH ST,4349,NO,0.00
M200506780,01/27/2018,X,600E,MARKET ST,2725,NO,0.00
M200303416,01/04/2018,BT,600,3RD ST,,NO,0.00
M201109031,02/22/2018,X,600,MAIN ST,295,NO,0.00
